                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.2566,                0.94304,                      1,                0.39593,              0.0033289,              0.0033289,              0.0033289
                      2,                0.11019,                0.93354,                      1,                0.37784,              0.0065963,              0.0065963,              0.0065963
                      3,                0.14163,                 0.9557,                      1,                0.35607,              0.0097977,              0.0097977,              0.0097977
                      4,                0.13256,                0.98734,                      1,                0.32548,               0.009703,               0.009703,               0.009703
                      5,                0.08508,                      1,                      1,                0.31511,               0.009703,               0.009703,               0.009703
                      6,                0.06742,                0.98418,                      1,                0.32481,               0.009604,               0.009604,               0.009604
                      7,                0.05377,                0.99051,                      1,                0.32005,               0.009505,               0.009505,               0.009505
                      8,                0.04474,                      1,                      1,                0.31516,               0.009406,               0.009406,               0.009406
                      9,                0.03343,                      1,                      1,                0.31607,               0.009307,               0.009307,               0.009307
                     10,                0.03065,                0.99051,                      1,                0.31925,               0.009208,               0.009208,               0.009208
                     11,                0.02456,                      1,                      1,                0.31366,               0.009109,               0.009109,               0.009109
                     12,                0.02597,                      1,                      1,                0.31352,                0.00901,                0.00901,                0.00901
                     13,                0.02785,                      1,                      1,                0.31392,               0.008911,               0.008911,               0.008911
                     14,                0.02236,                      1,                      1,                0.31334,               0.008812,               0.008812,               0.008812
                     15,                0.01929,                      1,                      1,                0.31399,               0.008713,               0.008713,               0.008713
                     16,                0.02277,                      1,                      1,                0.31469,               0.008614,               0.008614,               0.008614
                     17,                0.02617,                      1,                      1,                0.31375,               0.008515,               0.008515,               0.008515
                     18,                0.02214,                      1,                      1,                0.31418,               0.008416,               0.008416,               0.008416
                     19,                0.01837,                0.99684,                      1,                0.31657,               0.008317,               0.008317,               0.008317
                     20,                0.01531,                0.99684,                      1,                0.31521,               0.008218,               0.008218,               0.008218
                     21,                0.01831,                0.99684,                      1,                0.31867,               0.008119,               0.008119,               0.008119
                     22,                0.01472,                      1,                      1,                0.31347,                0.00802,                0.00802,                0.00802
                     23,                0.01579,                      1,                      1,                0.31478,               0.007921,               0.007921,               0.007921
